symbol,10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capitalSpendingGrowth5Y,cashFlowPerShareAnnual,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendPerShare5Y,dividendPerShareAnnual,dividendYield5Y,dividendYieldIndicatedAnnual,dividendsPerShareTTM,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,focfCagr5Y,grossMargin5Y,grossMarginAnnual,grossMarginTTM,inventoryTurnoverAnnual,inventoryTurnoverTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pbAnnual,pbQuarterly,pcfShareTTM,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,ptbvAnnual,ptbvQuarterly,quickRatioAnnual,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roaRfy,roaa5Y,roae5Y,roaeTTM,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,tbvCagr5Y,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily,update_date
EA,1.7001,-2.02013,-6.51844,41.26999,142.78,2022-06-03,109.28,2022-05-10,2.2503,0.66071,0.51617,0.55828,0.87017,27.23214,28.15162,15.61689,8.85554,4.3007,4.94597,10.93571,6.76534,0.55598,40.7166,36.44994,1.18161,1.34401,,,0.68,,0.58687,0.72,6.6643,2.73753,3.62793,2.77817,3.21571,2.75874,3.20227,-6.08121,-2.17661,4.61641,18.02819,2.75874,3.20227,2.87358,13.66116,74.1303,73.56601,75.16815,,,24.62951,24.09592,35752.39,2.81042,66025.1,69844.96,21.34545,55.44,-10.77614,24.63814,11.28594,12.36788,21.41062,16.14933,18.32533,24.46134,22.41953,4.75541,4.60009,25.61059,35.98272,46.94172,40.44006,40.44006,45.06574,23.5523,26.03961,21.7079,15.46274,17.98216,-1.25257,19.40173,-2.1542,16.22745,5.11406,4.90767,28.01911,22.1789,,11.94022,7.47179,585020.9,564728.7,12.19616,7.60913,4.27163,13.89931,24.44406,25.81045,9.63818,5.82546,13.21063,22.40783,11.51143,10.20369,6.90474,17.6916,7.65611,8.59733,4.55714,5.81949,-11.45958,24.62951,24.09592,-1.81956,2022-12-04
EFX,1.39731,1.67402,-2.84066,21.3515,299.9,2021-12-13,146.01,2022-10-21,-29.29161,0.71353,0.47683,0.46245,1.4516,29.35627,30.71078,5.74006,22.00417,10.01699,10.30688,1.84029,1.97467,0.77833,51.16273,63.21611,0.4892,0.64145,,1.56,1.56,0.93212,0.77833,1.56,13.76113,8.41738,8.43952,6.105,5.80689,6.02104,5.75223,34.59209,8.32706,-19.06629,0.06454,6.02104,5.75223,6.0759,14.65626,59.1839,59.76969,58.21068,,,124.7098,128.2043,24541.34,18.21989,62116.18,56228.35,7.875,6.83463,-0.6977,8.98915,15.20136,13.79264,14.23347,23.11176,21.86619,25.69202,26.9924,6.8275,6.52637,19.27986,29.52183,33.28827,34.84388,34.84388,32.98771,36.3145,1125.749,11.91881,19.2774,17.89508,2.47052,-17.43101,13.64282,-18.96172,4.98413,4.74009,,,,7.25063,6.72564,408622.4,407669.3,13.00451,9.38064,1.74994,8.108,39.83738,41.92227,8.93454,7.24845,4.26375,11.24746,19.46233,22.04123,6.37837,5.36298,9.46294,7.73958,-38.21949,-36.74428,,147.7207,156.4805,-31.54479,2022-12-04
F,42.03999,-8.63076,3.30154,1378.48048,25.87,2022-01-13,10.615,2022-07-05,-30.46914,1.22214,0.52009,0.60743,1.42102,11.7736,10.18004,10.3116,-2.29079,6.25384,4.05825,12.03421,9.70831,3.19602,7.80786,18.11825,1.20136,1.19875,-44.96785,0.42,0.1,3.56775,4.26136,0.45,3.35622,-3.40487,3.27356,4.49436,2.25706,4.44646,2.21184,71.02007,31.11407,-145.3107,213.843,4.44646,2.21184,4.75112,-0.69189,8.92846,12.05653,11.25639,10.48424,9.37683,182.1967,200.0688,56608.56,5.3104,97073.17,48426.23,,2.20314,34.09007,3.75045,13.13618,5.84041,0.95248,2.06908,2.38375,2.29135,20.35064,1.1959,1.3831,3.45786,4.96221,3.16656,6.36574,6.36574,2.96351,6.182,68.78318,3.87346,13.04083,4.637,-7.91499,-18.80605,2.88571,-19.74911,0.4152,0.37307,1.18455,1.36242,1.06838,12.58397,11.72975,738975.6,829158.5,-5.26073,-2.12519,10.39431,12.71849,33.79797,37.61428,-2.29562,6.83202,2.14402,15.82109,22.89692,45.29031,3.54767,3.40258,10.65586,5.5332,11.59646,10.04108,10.56557,284.6143,304.6386,-32.20992,2022-12-04
GME,3.429,-15.41694,-23.70818,100.11746,52.75,2021-11-26,19.3975,2022-03-14,-50.57135,-5.72767,2.01299,1.91162,-0.38434,5.27833,4.41941,-1.10351,-15.35651,-1.04718,-1.46897,4.18775,2.9898,,,,1.91836,2.16559,,,,,,,-1.46469,,,-1.31302,-1.71043,-1.31302,-1.71043,,,-68.45653,-644.2801,-1.31302,-1.71043,-1.25818,-44.07121,27.06191,22.42335,21.06383,6.1455,7.19261,2.5273,2.38928,7969.543,-7.55917,-31775.0,-43291.67,-28.672,-79.72308,,-4.78911,-6.34369,-8.56568,-3.73995,-6.42687,-8.75859,,,4.95801,5.92161,,,,,,,,,-4.2481,-6.57827,-8.79322,-14.75433,-42.2802,-9.98543,-16.48917,1.32589,1.31404,5.01103,5.93193,1.24293,71.81243,72.15824,500891.7,505408.3,-10.14568,-5.47475,-4.00541,8.55379,20.698,19.96675,1.53131,-12.76981,-8.84947,-25.239,-32.51447,-37.39702,-16.37432,-15.89326,-23.28905,-24.62902,5.23847,4.41941,136.0529,2.78315,3.05173,-29.45616,2022-12-04
GOOGL,26.20663,-11.67301,-13.22735,666.28507,151.453,2022-02-02,83.34,2022-11-03,-33.3014,-0.91501,0.759,0.79957,1.05488,19.00219,19.55331,13.57264,19.26307,6.52696,6.0818,10.54558,8.96299,,17.82363,22.37891,2.92811,2.5176,,,,,,,6.93882,25.04195,22.2009,5.69408,5.08931,5.60985,4.94062,36.92682,32.11326,-24.11112,-3.52858,5.60985,4.94062,5.60985,30.56387,56.13732,56.9398,56.09951,116.9009,55.86333,5.88829,5.7774,1262277.0,3.12136,521129.1,428051.1,,103.6504,6.46345,23.99296,29.51168,23.7458,24.46419,30.55229,27.84948,,,5.12888,4.98432,15.36439,18.7943,17.37301,19.72627,19.72627,17.37301,18.83658,20.18287,28.30981,35.21777,27.85515,-10.98107,-22.11339,-1.92888,-20.35003,4.89944,4.47437,5.55428,5.67061,2.9099,7.33653,8.20764,1765840.0,1802639.0,23.48679,23.33633,6.10277,17.93529,19.00892,20.88413,24.09257,22.39941,15.81597,21.47208,26.89319,32.06932,18.98653,18.74412,27.26194,23.18406,17.16167,17.16136,13.76422,5.9332,5.94064,-32.71753,2022-12-04
HD,5.08432,9.48675,5.80951,81.86549,420.61,2021-12-06,264.61,2022-06-22,-20.8027,4.79707,2.12214,2.09865,0.96159,-1.63865,1.27255,,9.62124,18.23724,19.30667,2.26377,2.41373,1.66983,38.01159,40.17484,1.01262,1.38719,17.00799,5.144,6.6,2.04604,2.32857,5.45,26.23224,11.18256,10.45908,15.59108,16.64457,15.53214,16.59397,17.17148,19.22281,8.16769,10.96944,15.53214,16.59397,15.71935,11.17636,33.98164,33.62861,33.51368,5.18542,4.51727,,3215.717,332641.9,10.21511,33017.88,34845.09,17.88335,16.40961,5.26439,10.0123,10.87148,10.86839,14.49919,15.24243,15.32955,42.50593,44.3229,,256.4774,16.70728,17.94279,21.0132,19.66859,19.66859,20.76295,47.38489,128.7314,13.55528,14.38041,14.39052,10.34445,-7.51817,5.89048,-6.90021,2.20064,2.11482,,,0.24351,47.10408,43.30103,303711.1,320609.5,11.78828,9.82773,5.57306,6.49429,142.8705,152.5246,13.26035,23.07082,22.53202,5599.443,1465.495,2050.281,22.809,35.09709,36.27674,34.63541,-12.22029,-6.01569,,,3310.015,-21.35611,2022-12-04
INTC,32.09823,-12.05036,-34.14141,883.87688,56.28,2022-01-12,24.59,2022-10-13,-41.03698,-1.84008,0.4916,0.40571,0.7373,23.43759,24.20281,10.56049,16.12963,7.74083,6.36177,7.18747,5.4662,4.9165,22.84758,,2.13233,1.77122,5.02141,1.2495,1.39,2.48538,4.97614,1.4425,5.18307,8.44494,-3.55763,4.8948,3.26128,4.8577,3.2412,3.23971,18.08069,-85.20646,-37.07507,4.8577,3.2412,5.4721,8.54793,58.59931,55.44518,46.55594,3.66703,3.28472,35.1291,37.28288,121086.2,3.20084,171497.6,109834.8,,,7.67504,26.91819,25.14173,19.12712,29.39456,24.62543,13.59649,28.40749,45.09435,1.25184,1.21226,4.63523,7.90181,6.0399,9.0522,9.0522,5.36174,30.13593,,31.59146,27.46381,19.7843,-11.36138,-31.14654,-2.20627,-32.55704,1.53227,1.74125,1.97989,1.83392,1.73993,9.73262,8.76426,682123.4,574236.2,3.70757,5.8799,-20.08128,-11.38466,19.32127,16.93516,9.66393,12.35968,14.31274,25.35488,14.00312,22.52237,7.76014,16.91849,14.75633,9.32037,15.02654,15.99855,7.04413,39.94192,39.5685,-43.02913,2022-12-04
JNJ,6.23924,7.89554,-2.12601,146.94922,186.69,2022-04-25,155.72,2022-02-24,10.60909,1.36109,0.52548,0.54207,0.56911,28.15671,28.50683,1.59249,2.51166,10.57517,9.82311,12.02298,13.02275,2.47123,34.24555,42.5511,1.34832,1.4324,5.78,3.756,4.19,2.53376,2.55021,4.38,12.66529,6.51516,4.88213,7.93207,7.28503,7.80778,7.18286,11.67575,5.65378,22.19215,7.36294,7.80778,7.18286,9.5982,4.46725,66.86869,68.16316,67.47951,3.0262,2.83138,40.50768,37.00184,463391.1,1.87963,151180.3,135194.1,,65.2122,-0.65478,19.21196,22.26393,19.94669,22.15709,24.28792,23.28172,52.84031,60.12946,6.29477,6.21746,17.68803,22.42407,22.70043,24.67541,24.67541,18.46596,53.10464,74.50017,22.15709,24.28792,23.28172,8.74077,29.16262,-1.79302,22.65115,4.94152,4.82493,,526.5807,1.11865,6.49884,6.23623,679036.9,677777.0,4.75289,5.45902,1.94104,5.02482,35.06918,36.01121,6.35013,11.69924,9.94516,25.40892,26.44698,30.41201,10.81241,12.72976,15.51155,14.49926,-2.89658,0.33628,,45.59529,42.93221,3.60671,2022-12-04
KO,12.63393,-0.6655,-3.07669,297.35101,67.2,2022-04-25,52.28,2021-12-01,13.0976,3.26141,0.4256,0.46257,0.58896,5.31769,5.27405,-0.22629,-9.58194,2.59355,2.58753,2.91908,3.05735,2.74366,114.9415,72.61513,1.13008,1.12594,2.73819,1.578,1.67,3.00423,2.80747,1.72,3.05154,1.88185,3.86435,2.26443,2.29367,2.25138,2.281,14.53325,8.53845,14.27316,12.22853,2.25138,2.281,2.29429,-1.32452,60.88149,60.27163,58.49373,4.5979,5.1016,165.7289,155.501,271103.8,4.7452,123088.5,126139.2,,,10.14311,21.13939,25.36282,23.534,24.85469,28.24473,26.04681,74.21963,75.83879,11.78896,11.8865,24.07885,24.42374,27.84514,27.48356,27.48356,27.32436,67.67442,62.72645,26.79064,32.14332,28.68479,0.11267,32.06855,-0.02845,25.3392,7.01342,6.40256,,,0.95895,11.61508,10.74286,485310.8,535987.3,4.0648,-1.58188,10.1673,12.01259,8.90668,9.73123,-1.45973,10.79438,8.70843,39.57279,44.1268,46.20077,10.88613,12.40823,13.68767,14.02899,-2.68532,-2.34528,,185.9255,173.5891,5.87739,2022-12-04
LLY,3.19527,15.74661,12.9127,63.73081,369.77,2022-11-09,231.92,2022-02-14,39.4084,1.24179,0.59343,0.61139,0.35243,9.41558,10.59813,-5.84493,11.39669,7.81995,8.41598,4.09856,2.88588,0.76934,166.0463,191.7378,1.22585,1.12695,14.75336,2.654,3.4,1.70858,1.07324,2.81,11.20891,11.12361,10.8283,6.15428,6.68323,6.12243,6.65398,23.91727,18.88346,31.78484,1.64304,6.12243,6.65398,7.79951,10.37924,77.15569,74.17651,75.60868,1.85927,1.84323,170.9106,140.4534,347052.5,0.87271,159477.1,172377.1,54.89527,8.19453,8.8487,20.77487,19.71051,20.63373,19.35731,21.01778,24.65193,57.36066,56.76424,38.79207,34.46362,45.50672,48.38229,59.65768,54.89196,54.89196,46.82986,150.8465,181.3326,21.1207,21.73675,22.40086,16.65335,62.79271,-1.66587,56.53766,12.25537,11.8693,,,0.96769,4.51358,4.63031,809097.1,835414.3,9.62809,5.93905,2.49232,5.3353,31.06174,32.26673,9.21897,11.69688,11.08472,58.87056,67.68571,76.35287,12.61536,15.80146,16.52721,18.27666,-2.73129,-0.99518,,188.0424,157.778,32.23155,2022-12-04
MA,2.37474,5.82299,-1.81396,61.6121,399.88,2022-02-02,276.96,2022-10-13,3.32059,2.93609,0.53005,0.59259,1.1085,7.46122,6.6054,7.35705,16.33549,9.48891,10.78434,8.0551,8.3541,0.54371,50.13972,44.78114,1.28772,1.24837,20.73619,1.31199,1.76,0.48418,0.55794,1.91,13.50217,11.72817,13.20215,8.79251,10.04814,8.75706,10.01208,16.60072,18.89147,5.87398,23.09667,8.75706,10.01208,8.83692,21.82692,,,,,,179.2806,213.4413,337751.2,7.04187,386088.9,407666.7,,21.86292,4.07894,42.99943,46.00191,45.22093,53.15035,53.38911,55.03328,20.5019,19.45012,47.08208,53.18225,32.04775,28.29777,40.11506,35.08662,35.08662,39.75254,48.89276,40.04638,52.88671,54.5806,52.99501,6.65199,20.65155,3.31082,15.73591,17.88558,15.61061,,,,4.25795,5.38946,839288.9,901500.0,8.09798,11.87351,15.4664,21.63256,19.03629,22.13968,14.232,24.38353,24.61055,113.9381,149.7857,126.7897,26.7974,40.98303,37.75479,40.93381,-4.10306,-4.56594,,190.1121,228.4861,-2.23478,2022-12-04
META,35.24972,-31.13487,-42.90473,934.34355,352.69,2021-12-28,88.1,2022-11-04,-67.33419,-0.03589,0.72504,0.67789,1.17595,45.55965,46.56435,17.35462,32.82497,16.55719,13.57589,17.51113,15.6758,,8.61981,28.07867,3.15429,2.57041,,,,,,,15.87689,29.94483,16.55765,13.98579,10.57221,13.77055,10.48567,22.0726,31.56816,-49.13723,-25.04078,13.77055,10.48567,13.77055,,81.96625,80.79438,80.30648,,,0.40519,8.41217,295409.0,19.58995,603029.7,400611.4,,,-2.01816,34.31048,33.38449,24.41011,40.02512,39.64504,29.74305,,,2.44537,2.3926,7.9488,12.83365,8.09045,10.62498,10.62498,8.09045,7.55213,11.22759,40.75407,40.09531,29.94793,-30.5954,-61.85484,8.81992,-60.78823,2.50497,2.50103,2.81213,2.86941,,9.29526,10.1321,1806317.0,1641170.0,28.30103,33.66657,-4.46743,5.15,41.24834,43.14703,34.27809,24.20513,21.57878,26.52992,22.39779,31.10175,16.54734,23.70032,27.22806,18.72329,38.3247,38.63077,22.20866,0.46525,8.46375,-66.87677,2022-12-04
MRK,8.52612,20.43469,15.49205,187.72836,107.5,2022-11-25,71.5,2021-12-07,30.65143,5.07282,0.49375,0.58805,0.4033,15.10679,17.5487,0.70662,22.47635,6.13554,7.55761,3.20303,4.43987,2.56744,65.93577,37.25151,1.26785,1.4593,9.87956,2.346,2.64,3.18858,2.56744,2.76,10.35296,-1.29321,3.9837,4.87945,6.05713,4.86407,6.03625,26.03346,28.16521,-29.04929,159.6516,5.14145,6.0118,6.81007,5.90916,70.91552,72.81332,70.85156,2.1595,3.06499,80.37398,64.06496,272555.1,6.2253,174056.3,225485.3,,10.48574,20.71113,16.06165,25.37369,25.99959,18.47903,25.74327,30.65927,54.39449,45.77731,7.116,6.12581,14.20668,14.21795,22.10083,17.80907,17.8815,15.78545,89.33303,32.6648,19.89762,28.49663,28.55496,21.37815,52.56686,3.36491,66.04916,5.59615,4.62161,,141.2202,1.01847,5.70271,6.53343,685971.8,867264.7,4.81625,4.11685,13.72206,27.84028,19.18991,23.23183,6.08405,12.52826,7.60845,22.51167,38.18472,38.88128,15.28904,10.14124,16.9377,19.95004,-2.37893,0.76182,,86.69076,68.41963,40.26618,2022-12-04
MSFT,24.67337,-7.68399,-9.42395,613.27562,344.3,2021-12-29,213.46,2022-11-04,-26.7586,2.40401,0.56761,0.58422,0.92636,22.3127,23.27558,14.41632,24.057,11.58329,11.14795,14.03497,14.38407,1.00206,39.82685,44.01236,1.78461,1.84019,10.36912,2.01,2.42,1.04274,1.09903,2.48,13.12601,18.99636,18.22065,9.70358,9.32747,9.64695,9.28042,23.82225,24.27448,-13.44385,3.7418,9.64695,9.28042,9.65859,-6.12672,67.51196,68.40167,68.26,19.64566,16.7876,36.55174,33.96345,1844908.0,6.61698,361880.6,315787.3,,,6.80699,33.25724,36.68634,34.36612,38.08532,42.00434,41.62994,25.50524,27.17477,11.09189,10.63303,22.00851,24.96926,25.65474,26.66797,26.66797,25.62382,39.24166,41.19569,38.63,42.22323,41.74024,-6.9608,-14.47312,1.6672,-12.88585,9.30503,9.08486,21.03178,19.35915,1.74525,4.81799,6.92758,986417.9,918891.4,16.36148,15.47343,10.60308,15.2192,26.29576,27.00645,16.35427,20.82337,16.66306,43.31398,42.87531,47.15133,20.07733,22.06461,28.25435,26.47107,11.75241,12.7798,15.60502,38.83885,36.44262,-26.41235,2022-12-04
NFLX,9.11076,27.88427,46.28823,249.93539,676.4,2021-11-26,162.81,2022-05-12,-56.62398,-3.29856,0.70823,0.69706,1.27643,35.69947,46.12853,41.78051,23.19943,37.99145,41.82669,13.57726,13.73809,,8.13299,7.30589,0.95063,1.13533,,,,,,,43.87255,28.56554,24.26835,10.97012,10.77622,10.67581,10.60597,59.71892,90.49605,-2.52629,-2.72546,11.23527,11.16491,10.67581,35.31134,39.83097,41.63656,39.61868,,,92.70517,67.65404,127071.1,-2.17213,469706.8,423832.4,17.47857,,50.58737,10.842,16.36976,15.21728,15.46644,20.85845,18.15757,,,7.99844,6.1901,6.71652,21.84811,26.74645,26.92257,25.57477,26.74645,,177.2237,12.5208,19.66507,18.35059,28.8861,-49.3481,-6.44173,-43.89044,4.2788,4.03749,,,,41.97163,37.97872,2869357.0,2785205.0,23.4263,27.45189,5.90798,9.9181,65.21667,69.58028,26.50189,11.59355,7.53106,30.20588,26.72398,36.12526,10.6073,9.71783,14.38936,12.85946,-33.94492,-27.52502,,97.12066,67.65404,-52.60275,2022-12-04
NVDA,50.54508,0.0615,-13.50805,1223.87189,334.1,2021-11-29,108.14,2022-10-13,-50.20506,3.78261,0.73759,0.70429,1.73088,10.61931,8.65032,33.95157,40.85992,4.31006,2.92552,8.46289,5.32536,0.09834,40.83133,73.90438,6.65029,3.38775,1.61318,0.155,0.16,0.14853,0.09834,0.16,3.66125,39.30109,24.59198,3.90705,2.38124,3.84694,2.35102,36.60169,43.06999,-71.97169,-27.42197,3.84694,2.35102,3.85081,31.1972,62.72568,64.92903,57.83799,4.26044,3.60221,41.13182,45.44007,400242.0,20.54531,470565.5,265073.7,63.21384,35.84404,8.4885,31.03494,36.23393,20.85346,32.17536,37.30772,20.78695,4.09147,6.73158,15.32114,18.80854,54.20395,58.09578,42.29336,69.20401,69.20401,42.25085,51.75766,90.38889,32.1477,36.93617,20.15683,0.84537,-41.85247,13.95561,-34.51204,14.87115,14.01113,20.08844,26.45878,6.04937,7.6039,6.44685,1298688.0,1271125.0,31.947,31.25022,-16.50007,17.68147,10.61696,11.31775,31.87588,26.72586,24.13341,37.95191,26.38935,44.83163,14.68688,27.27646,30.1369,16.8627,7.95052,6.12925,31.6404,41.13182,51.29046,-44.68056,2022-12-04
PEP,4.41534,5.18167,7.18403,107.25824,186.57,2022-11-22,153.37,2022-03-10,12.44045,2.26629,0.85781,0.89118,0.58911,11.60014,13.76142,8.34599,8.7546,7.61627,9.04551,4.32972,4.88905,2.3763,2072.691,179.7307,0.83078,0.91775,5.79061,3.7635,4.2475,2.7565,2.49851,4.375,10.71488,2.76919,3.25708,5.64978,7.08979,5.62131,7.05186,-13.75549,5.21889,15.65934,17.54256,5.48452,6.98986,5.86105,1.77079,54.53645,53.38727,53.23992,8.69703,8.33678,224.559,190.42,253650.0,1.39333,26230.0,31941.75,6.25231,6.86761,-0.51012,12.26213,9.90135,11.80001,14.87892,14.01716,15.61738,75.5123,63.04082,15.87135,13.37871,20.1774,24.07123,32.75215,26.10801,26.33958,31.41246,215.6888,818.226,13.61354,12.3575,14.09187,6.00565,31.30118,-2.1066,25.46896,3.19161,3.0325,,,0.66499,11.58851,8.24729,264913.3,270692.6,7.11761,4.82249,8.82659,9.08048,57.2167,60.18636,5.75657,8.49348,10.27752,62.3774,56.24265,52.94098,10.51594,14.05135,11.61502,14.43943,-15.18655,-12.01088,,251.4118,206.803,5.98699,2022-12-04
PFE,17.05181,5.10466,-8.71823,415.13924,61.7,2021-12-20,41.45,2022-10-11,-3.30124,1.82082,0.48428,0.53226,0.68116,13.73665,16.50606,6.96614,6.28289,4.84408,6.11099,5.52829,6.43674,3.23105,17.51143,12.0892,1.39891,1.58873,4.67956,1.432,1.56,3.43054,3.25137,1.59,7.40565,9.47722,14.46707,4.00161,5.39176,3.92659,5.27235,93.72613,27.43101,5.88991,54.04427,3.85056,5.19366,4.09303,-1.79805,74.03857,62.24781,65.50825,3.58819,3.7878,46.88472,35.22433,276231.2,5.71429,285193.7,382898.7,,16.5622,15.08943,21.31722,27.62892,30.34733,23.63117,29.09655,36.0799,39.33431,29.71381,3.58239,2.98133,7.87634,8.11609,12.5325,9.3336,9.47501,12.02288,13.06676,19.12429,22.80975,29.90724,33.79048,5.92803,12.91898,0.53011,-1.34543,3.39818,2.77129,97.05945,18.36644,1.18661,8.37632,7.12659,1032229.0,1261722.0,25.8056,9.00315,-5.81236,44.71594,14.24107,17.36818,10.67366,13.3802,6.6163,16.60322,35.91288,31.91871,16.1527,8.24553,16.84739,21.0145,0.50641,2.67997,,49.78756,39.58567,-16.66384,2022-12-04
PG,5.89359,3.11336,-1.34481,140.25728,165.31,2022-01-21,122.18,2022-10-10,-1.30499,4.15276,0.67807,0.68201,0.40992,19.46236,18.59942,-2.07427,-1.38537,6.82092,6.77424,3.01362,2.83159,2.43062,69.1766,70.64765,0.65454,0.61503,6.72939,3.0953,3.5227,2.64104,2.48991,3.5662,8.1131,2.94719,2.89325,5.99967,5.95323,5.80599,5.76874,59.49474,9.49552,-2.09155,5.42192,5.80599,5.76874,5.88791,-0.06275,49.92772,47.65361,47.00787,6.50422,6.13629,49.04162,48.29495,347682.4,8.9478,142927.5,138018.9,41.71363,47.78706,3.31935,15.66599,18.44813,18.18272,19.38436,22.20934,22.03428,58.8756,60.08959,7.67757,8.04056,20.32398,21.20698,25.27045,25.43363,25.43363,24.91886,72.47913,79.89025,19.58117,22.44129,22.31764,3.92113,15.25008,5.13427,6.18003,4.33589,4.32113,,,0.44524,16.25193,14.13829,774753.6,759066.1,5.81306,4.27031,1.34723,4.30786,31.58088,31.86196,5.87355,12.50914,9.56994,23.03403,32.28956,31.69395,12.40088,13.05334,17.42803,18.04079,-7.01395,-7.65963,,67.5975,74.87918,-10.30688,2022-12-04
SAVE,0.55243,-6.94087,5.95122,27.97562,28.29,2022-02-10,15.94,2022-05-12,-2.94906,2.01973,0.38146,0.54169,1.10609,19.4968,16.90084,-0.62394,-16.89317,-2.54559,-1.44502,13.27882,9.73462,,,,1.44441,0.92929,,,,,,,-0.33243,,,-4.50066,-3.41317,-4.50066,-3.41317,,,-346.8277,34.9456,-4.50066,-3.41317,-4.76539,26.53735,26.79059,16.38204,19.50407,,,140.7651,144.4648,2364.377,-1.27273,-50871.3,-37732.36,-3.28613,-2.59389,,-1.66831,-14.62711,-7.94575,1.68597,-12.0251,-7.60474,,,1.11403,1.28514,,,,,,,,,-1.00699,-16.10511,-9.69558,-6.21186,13.33023,-2.52279,17.67714,0.73183,0.50687,1.11842,1.28514,,37.61789,30.50075,347787.8,474874.6,-0.93415,6.84715,45.58139,70.13815,30.76929,42.93538,-1.33281,-5.57971,-0.80898,-2.48626,-18.35512,-21.65895,-4.30411,-0.9616,-6.59956,-5.20188,19.4968,16.90084,8.6756,150.6489,163.7028,-0.59497,2022-12-04
SIRI,13.43914,5.18639,1.72414,325.22582,6.875,2022-08-11,5.695,2022-06-16,8.46152,2.04403,0.84399,0.89317,0.93208,-0.66171,-0.92837,,13.51808,0.44581,0.42468,0.04815,0.01001,1.35347,28.45012,,0.39597,0.37514,13.46423,0.05123,0.06588,0.85924,1.49153,0.08784,0.63864,8.4216,6.49867,0.32349,0.29589,0.31909,0.29198,7.3643,16.25717,-25.38204,264.3829,0.31909,0.29198,0.3405,8.5942,56.93706,54.36983,54.17778,,,,,25243.1,7.45033,232237.5,208765.7,4.90361,4.87019,0.32469,12.22477,15.1104,12.96667,21.47224,22.21711,21.64444,20.39574,114.2245,,,14.80534,19.29771,20.33909,22.22755,22.22755,19.06021,18.81006,147.6205,16.34051,17.5483,16.97778,6.0104,26.65482,1.91907,25.56751,2.90284,2.80479,,,,13.17576,14.42308,1536939.0,1610018.0,14.6473,11.62752,3.73066,4.60251,2.09896,2.24173,15.74104,12.75295,9.2681,,,,11.5814,13.55729,18.17427,16.01922,-2.25914,-2.55558,,,,6.07024,2022-12-04
