symbol,year,month,change,mspr
AMD,2018,8,2284708,28.387468
AMD,2018,7,-22025000,-97.71517
AMD,2018,6,15301,3.9908607
AMD,2018,4,13653,100.0
AMD,2018,2,127282,57.585327
AMD,2018,1,143908,48.9483
AMD,2017,9,-120000,-17.266188
AMD,2017,8,-39028374,-87.94594
AMD,2017,7,-57500,-53.488373
AMD,2017,3,-45150000,-99.88938
AMD,2017,2,-20000,-10.596026
AMD,2017,1,152750,34.437435
AMD,2016,12,159501,18.678135
AMD,2016,11,2133075,33.022667
AMD,2016,10,121630,27.771435
AMD,2016,8,69100,100.0
AMD,2015,5,218278,81.34806
AMD,2015,4,62639,83.62236
AMD,2015,3,69269,100.0
AMD,2015,2,141840,50.344288
AMD,2015,1,199890,50.780415
AMD,2014,5,640688,83.428345
AMD,2014,3,34906166,100.0
AMD,2014,2,195845,65.00453
AMD,2014,1,279323,53.047665
AMD,2013,11,4260,7.6207514
AMD,2013,5,281153,100.0
AMD,2013,3,-1000,-100.0
AMD,2013,2,-1000,-100.0
AMD,2013,1,-1000,-100.0
AMD,2012,12,-1000,-100.0
AMD,2012,11,122662,63.522526
AMD,2012,10,-4000,-100.0
AMD,2012,9,16670,100.0
AMD,2012,8,262198,45.78662
AMD,2011,3,15593,88.63184
AMD,2011,2,11000,5.6282105
AMD,2011,1,458762,48.041126
AMD,2010,11,21861,19.61173
AMD,2010,3,16593,100.0
AMD,2010,2,36123,23.61212
AMZN,2022,11,-345,-100.0
AMZN,2022,10,-1020,-100.0
AMZN,2022,9,20217,83.2078
AMZN,2022,8,-1067184,-80.61374
AMZN,2022,5,-77553,-76.50866
AMZN,2022,3,-5282,-100.0
AMZN,2022,2,-29332,-65.719666
AMZN,2022,1,-69,-100.0
AMZN,2021,12,-100878,-100.0
AMZN,2021,11,-1075240,-98.5076
AMZN,2021,10,0,0.0
AMZN,2021,8,-14018,-48.45489
AMZN,2021,7,-243,-100.0
AMZN,2021,2,-10345,-44.596283
AMZN,2021,1,-314,-100.0
AMZN,2020,12,-33421,-87.70765
AMZN,2020,11,-1230269,-97.165596
AMZN,2020,10,100,4.347826
AMZN,2020,9,-1460,-100.0
AMZN,2020,8,-1019430,-98.277824
AMZN,2020,7,100,100.0
AMZN,2020,6,-2602,-100.0
AMZN,2020,5,-16306,-48.066265
AMZN,2020,4,-53219,-99.6256
AMZN,2019,12,-4181,-100.0
AMZN,2019,11,-48085,-48.941975
AMZN,2019,10,-204,-50.49505
AMZN,2019,9,-5300,-100.0
AMZN,2019,8,-528841,-91.70139
AMZN,2019,7,-976219,-100.0
AMZN,2019,5,5222,12.252463
AMZN,2019,4,-10,-100.0
AMZN,2019,3,-2058,-100.0
AMZN,2019,2,3584,3.6957598
AMZN,2018,11,-40981,-47.393864
AMZN,2018,10,-20764,-100.0
AMZN,2018,9,-6000,-100.0
AMZN,2018,8,-13214,-23.737156
AMZN,2018,5,2332,5.65032
AMZN,2018,3,-1000,-100.0
AMZN,2018,2,-15719,-22.796026
AMZN,2017,12,-2800,-100.0
AMZN,2017,11,-994749,-94.674614
AMZN,2017,8,7214,16.018297
AMZN,2017,6,-3380,-100.0
AMZN,2017,5,-998190,-88.019775
AMZN,2017,3,-4000,-100.0
AMZN,2017,2,2262,5.0506854
AMZN,2016,12,-10308,-100.0
AMZN,2016,11,5689,10.318684
AMZN,2016,9,-14000,-100.0
AMZN,2016,8,-1003977,-94.78197
AMZN,2016,6,-6250,-100.0
AMZN,2016,5,-1003740,-94.06277
AMZN,2016,3,-6250,-100.0
AMZN,2016,2,612,0.8601062
AMZN,2015,12,-6250,-100.0
AMZN,2015,11,-23602,-23.462631
AMZN,2015,9,-6250,-100.0
AMZN,2015,8,-1016132,-93.559074
AMZN,2015,6,-2278,-48.696026
AMZN,2015,5,-35368,-31.659983
AMZN,2015,2,-2612,-2.7884533
AMZN,2014,12,-10309,-100.0
AMZN,2014,11,12036,12.564986
AMZN,2014,9,-3793,-100.0
AMZN,2014,8,16040,22.62852
AMZN,2014,6,-676,-21.976593
AMZN,2014,5,11719,15.581912
AMZN,2014,4,1667,100.0
AMZN,2014,2,-985498,-90.57253
AMZN,2013,12,-12113,-78.41652
AMZN,2013,11,-1038839,-89.44505
AMZN,2013,9,-5000,-100.0
AMZN,2013,8,-1001785,-90.09093
AMZN,2013,6,-1300,-35.135136
AMZN,2013,5,7017,6.8013296
AMZN,2013,4,1667,100.0
AMZN,2013,2,-200246,-68.66582
AMZN,2012,12,-20,-0.5963029
AMZN,2012,11,-787098,-81.8848
AMZN,2012,9,35219,27.69203
AMZN,2012,8,-18246,-15.799865
AMZN,2012,6,2333,100.0
AMZN,2012,5,7238,8.042401
AMZN,2012,4,1666,100.0
AMZN,2012,3,-4838,-36.546307
AMZN,2012,2,-72085,-40.32479
AMZN,2012,1,68,100.0
AMZN,2011,11,97,100.0
AMZN,2011,9,26500,18.675123
AMZN,2011,8,-55494,-31.499897
AMZN,2011,7,-5379,-100.0
AMZN,2011,6,-3417,-42.273907
AMZN,2011,5,10800,9.829083
AMZN,2011,4,2333,100.0
AMZN,2011,3,367,0.23063919
AMZN,2011,2,-907,-0.3399512
AMZN,2010,12,-4086,-2.6330712
AMZN,2010,11,-908523,-77.86217
AMZN,2010,10,-13358,-100.0
AMZN,2010,9,-16735,-8.986248
AMZN,2010,8,-1051304,-81.436966
AMZN,2010,3,-4010,-2.4285662
AMZN,2010,2,-1996840,-91.81634
BAC,2022,10,-15852,-33.333332
BAC,2022,9,-13122,-22.828016
BAC,2022,8,-45328,-19.728241
BAC,2022,7,-15853,-33.333332
BAC,2022,6,-21897,-14.255767
BAC,2022,5,1485,4.174984
BAC,2022,4,23360,36.957348
BAC,2022,3,476995,33.89036
BAC,2022,2,1066068,38.16021
BAC,2022,1,305726,34.745144
BAC,2021,12,-5000,-2.0778098
BAC,2021,11,-4400,-10.9901085
BAC,2021,10,-108478,-75.27131
BAC,2021,8,-80000,-69.18261
BAC,2021,7,-27000,-43.104824
BAC,2021,4,15019,61.626522
BAC,2021,3,729620,34.006676
BAC,2021,2,496552,24.90663
BAC,2021,1,0,0.0
BAC,2020,12,0,0.0
BAC,2020,11,-21000,-36.673534
BAC,2020,10,-50000,-57.961605
BAC,2020,9,0,0.0
BAC,2020,8,6436281,99.43973
BAC,2020,7,78655725,99.95392
BAC,2020,6,0,0.0
BAC,2020,5,0,0.0
BAC,2020,4,27522,43.1474
BAC,2019,12,-15000,-25.564116
BAC,2019,11,0,0.0
BAC,2019,10,-2340077,-98.16776
BAC,2019,3,475411,33.728214
BAC,2019,2,230024,32.159405
BAC,2019,1,0,0.0
